Id;Clone_batch_id
1;917
2;918
4;935
5;936
6;937
10;916
14;943
15;864
16;865
18;934
19;901
20;901
21;901
22;901
23;356
24;135
25;606
26;877
28;479
29;752
30;166
31;940
32;941
34;962
35;963
36;964
37;965
39;961
41;670
42;966
43;966
44;959
45;959
46;959
47;959
48;967
49;967
50;967
51;967
52;941
53;969
54;969
55;780
56;170
57;566
58;978
59;979
60;980
61;982
62;981
63;983
64;984
66;986
67;178
68;642
69;642
70;642
71;642
72;836
73;836
74;837
75;837
76;798
77;1004
79;1006
80;1009
81;1007
82;1003
83;1002
84;1010
85;1010
86;1010
87;1010
88;1010
89;1010
90;960
91;809
92;783
93;784
94;810
96;1028
97;588
98;942
99;1010
100;1044
101;1043
102;1042
103;1041
104;1033
105;1050
106;1059
107;128
108;1060
109;769
110;1061
111;985
112;946
113;110
114;1061
115;1061
116;1059
117;1059
118;1060
119;1060
120;1060
121;1060
122;1016
123;1017
124;1063
