Id;Plasmid_batch_id
120;1171
119;1171
118;1171
117;1174
116;1175
114;1170
113;1169
112;1169
111;1165
110;1162
109;1161
108;1160
107;1152
106;1153
105;124
104;1140
103;1089
102;1141
101;1091
100;1088
99;1088
98;1088
97;1088
96;1088
95;1088
94;1145
93;1145
92;1145
91;1145
90;1145
89;1145
88;1145
87;1083
86;1083
85;1083
84;1083
83;1000
82;999
81;1040
80;1040
79;670
78;670
77;1106
76;1104
75;1088
74;1088
73;1083
72;1083
71;1083
70;1083
69;1083
68;1063
64;1054
57;1064
56;1065
55;1066
52;1083
51;1083
50;1088
49;1088
48;1088
47;1088
46;1087
45;1084
44;1084
43;1084
42;1084
41;1084
40;1084
39;1084
38;1084
37;1084
36;1084
35;1084
34;1084
33;1084
32;1084
31;1084
30;1084
29;1084
28;837
27;836
26;971
25;971
24;971
23;971
22;971
21;971
20;971
19;971
18;971
17;971
16;971
15;971
14;971
13;1086
12;1086
11;971
10;971
9;971
8;971
7;967
6;917
5;971
2;971
1;971
